"sweep","stim_index_70","tech_rep","stim_label","wavelength","stimulus_ND"
218,55,2,"530 2.5","530",2.5
219,55,3,"530 2.5","530",2.5
220,55,4,"530 2.5","530",2.5
221,56,1,"530 2.0","530",2
222,56,2,"530 2.0","530",2
223,56,3,"530 2.0","530",2
224,56,4,"530 2.0","530",2
225,57,1,"450 5.0","450",5
226,57,2,"450 5.0","450",5
227,57,3,"450 5.0","450",5
228,57,4,"450 5.0","450",5
229,58,1,"450 4.5","450",4.5
230,58,2,"450 4.5","450",4.5
231,58,3,"450 4.5","450",4.5
232,58,4,"450 4.5","450",4.5
233,59,1,"450 4.0","450",4
234,59,2,"450 4.0","450",4
235,59,3,"450 4.0","450",4
236,59,4,"450 4.0","450",4
237,60,1,"450 3.5","450",3.5
238,60,2,"450 3.5","450",3.5
239,60,3,"450 3.5","450",3.5
240,60,4,"450 3.5","450",3.5
241,61,1,"450 3.0","450",3
242,61,2,"450 3.0","450",3
243,61,3,"450 3.0","450",3
244,61,4,"450 3.0","450",3
245,62,1,"450 2.5","450",2.5
246,62,2,"450 2.5","450",2.5
247,62,3,"450 2.5","450",2.5
248,62,4,"450 2.5","450",2.5
249,63,1,"450 2.0","450",2
250,63,2,"450 2.0","450",2
251,63,3,"450 2.0","450",2
252,63,4,"450 2.0","450",2
253,64,1,"370 5.0","370",5
254,64,2,"370 5.0","370",5
255,64,3,"370 5.0","370",5
256,64,4,"370 5.0","370",5
257,65,1,"370 4.5","370",4.5
258,65,2,"370 4.5","370",4.5
259,65,3,"370 4.5","370",4.5
260,65,4,"370 4.5","370",4.5
261,66,1,"370 4.0","370",4
262,66,2,"370 4.0","370",4
263,66,3,"370 4.0","370",4
264,66,4,"370 4.0","370",4
265,67,1,"370 3.5","370",3.5
266,67,2,"370 3.5","370",3.5
267,67,3,"370 3.5","370",3.5
268,67,4,"370 3.5","370",3.5
269,68,1,"370 3.0","370",3
270,68,2,"370 3.0","370",3
271,68,3,"370 3.0","370",3
272,68,4,"370 3.0","370",3
273,69,1,"370 2.5","370",2.5
274,69,2,"370 2.5","370",2.5
275,69,3,"370 2.5","370",2.5
276,69,4,"370 2.5","370",2.5
277,70,1,"370 2.0","370",2
278,70,2,"370 2.0","370",2
279,70,3,"370 2.0","370",2
280,70,4,"370 2.0","370",2
